
State Machine - |mp0|control:Control|state
Name state.s_br_taken state.s_br state.s_str2 state.s_str1 state.s_ldr2 state.s_ldr1 state.s_calc_addr state.s_not state.s_and state.s_add state.decode state.fetch3 state.fetch2 state.fetch1 
state.fetch1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
state.fetch2 0 0 0 0 0 0 0 0 0 0 0 0 1 1 
state.fetch3 0 0 0 0 0 0 0 0 0 0 0 1 0 1 
state.decode 0 0 0 0 0 0 0 0 0 0 1 0 0 1 
state.s_add 0 0 0 0 0 0 0 0 0 1 0 0 0 1 
state.s_and 0 0 0 0 0 0 0 0 1 0 0 0 0 1 
state.s_not 0 0 0 0 0 0 0 1 0 0 0 0 0 1 
state.s_calc_addr 0 0 0 0 0 0 1 0 0 0 0 0 0 1 
state.s_ldr1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 
state.s_ldr2 0 0 0 0 1 0 0 0 0 0 0 0 0 1 
state.s_str1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 
state.s_str2 0 0 1 0 0 0 0 0 0 0 0 0 0 1 
state.s_br 0 1 0 0 0 0 0 0 0 0 0 0 0 1 
state.s_br_taken 1 0 0 0 0 0 0 0 0 0 0 0 0 1 
